"I'm at Mr. Scribs (Apple Ave.) in Muskegon, MI https://t.co/VW0oZsHzXd",43.2353138,-86.07687468,Sun Mar 18 20:39:30 +0000 2018,975471781753643000
Noah home  Illinois https://t.co/bZ72cyrftv,40,-89,Sun Mar 18 20:41:29 +0000 2018,975472279441338400
5643 West Higgins Avenue https://t.co/zQJ9sF7PBh,41.97047,-87.76915,Sun Mar 18 20:40:06 +0000 2018,975471932480122900
"My CE study buddy. realestatelife  Uptown, Chicago https://t.co/5C1VWnNq4d",41.97,-87.66,Sun Mar 18 20:42:04 +0000 2018,975472424924872700
"Just posted a photo  South Shore, Chicago https://t.co/ocn7E5BqC6",41.76,-87.58,Sun Mar 18 20:46:35 +0000 2018,975473564890497000
"Join the Payless ShoeSource team! See our latest job opening here: https://t.co/WBPemaYQJs CustomerService Peoria, IL Hiring CareerArc",40.729211,-89.6132638,Sun Mar 18 20:48:39 +0000 2018,975474085185515500
Ducks and goldfish with girl  South Shore Cultural Center https://t.co/WkbbgwYuNQ,41.76835268,-87.56401234,Sun Mar 18 20:47:58 +0000 2018,975473911021408300
workonthesabbath now thelivingword chicago  Bing Art Books https://t.co/jRGzdOdn5G,41.7942946,-87.6187901,Sun Mar 18 20:47:31 +0000 2018,975473798135783400
"lights camera action  Chicago, Illinois https://t.co/xscXi8TYLZ",41.8369,-87.6844,Sun Mar 18 20:48:44 +0000 2018,975474104496255000
Stop 1  Restoration Hardware https://t.co/S9nP1twS8X,41.91111,-87.65268,Sun Mar 18 20:52:01 +0000 2018,975474929234862100
Not pictured a bunch of Junot Diaz what should I read now??  Logan Square https://t.co/Mj0AtpMs5C,41.9160701,-87.6774451,Sun Mar 18 20:52:26 +0000 2018,975475033756745700
Just posted a photo  The Westin Chicago River North https://t.co/XQthHZ121l,41.88792317,-87.6299611,Sun Mar 18 20:53:25 +0000 2018,975475282755846100
Just posted a photo  Hansen's Casa https://t.co/Nv1y2eCGXy,43.11838983,-85.76928979,Sun Mar 18 20:49:57 +0000 2018,975474411426820100
"Happy Sunday ! (at LadyGregorys in Chicago, IL) https://t.co/6VS1cVpqB4",41.97789454,-87.66855192,Sun Mar 18 20:52:47 +0000 2018,975475124240560100
Father and son.  The Delta https://t.co/URGr5uJLjs,41.91032,-87.67186,Sun Mar 18 20:55:23 +0000 2018,975475776635027500
"Snow  Chicago, Illinois https://t.co/8eon54Nv2P",41.8369,-87.6844,Sun Mar 18 20:54:18 +0000 2018,975475505599336400
"I'm at SidetrackBar in Chicago, IL https://t.co/L5p2bLyPKc",41.94324251,-87.64922082,Sun Mar 18 20:56:44 +0000 2018,975476117078528000
"We're hiring! Read about our latest job opening here: Department Manager - https://t.co/NYEmm8Xa62 Manager Galesburg, MI CareerArc",42.2750649,-85.4282481,Sun Mar 18 20:54:18 +0000 2018,975475505733365800
"Want to work at Dollar General? We're hiring in STANDISH, MI! Click for details: https://t.co/Ks2g4vE109 Retail Job Jobs CareerArc",43.9830762,-83.9588803,Sun Mar 18 20:56:10 +0000 2018,975475972928503800
"Watercolor 2018 (for 20 minutes) ( John B. Norris Recreational Center in Saint Charles, IL w/ ricebag) https://t.co/FxEeKUndct",41.9290818,-88.28169365,Sun Mar 18 20:55:04 +0000 2018,975475696498872300
"montroseharbor  Chicago, Illinois https://t.co/PIKpL0wGYk",41.8369,-87.6844,Sun Mar 18 20:58:45 +0000 2018,975476626757705700
Ann Arbor MI Sun Mar 18th PM Forecast: EARLY THIS EVENING Clear Lo 55 MONDAY Partly Cloudy Hi 41,42.2601,-83.8448,Sun Mar 18 21:04:21 +0000 2018,975478036220006400
Bay City MI Sun Mar 18th PM Forecast: EARLY THIS EVENING Clear Lo 50 MONDAY Clearing Hi 31,43.5968,-83.9583,Sun Mar 18 21:04:24 +0000 2018,975478047037100000
Brimley MI Sun Mar 18th PM Forecast: TONIGHT Mostly Clear Lo 12 MONDAY Mostly Sunny Hi 29,46.4104,-84.5584,Sun Mar 18 21:04:25 +0000 2018,975478052150005800
Just hanging out with the Gallaghers today  Shameless House https://t.co/Cwo9EBUy6r,41.8369,-87.6844,Sun Mar 18 21:03:37 +0000 2018,975477848965345300
Michiana MI Sun Mar 18th PM Forecast: TONIGHT Clear Lo 29 MONDAY Mostly Sunny Hi 49,41.78,-86.7271,Sun Mar 18 21:04:38 +0000 2018,975478105748987900
Rawsonville MI Sun Mar 18th PM Forecast: EARLY THIS EVENING Clear Lo 55 MONDAY Partly Cloudy Hi 41,42.1967,-83.6251,Sun Mar 18 21:04:44 +0000 2018,975478130310774800
Ypsilanti MI Sun Mar 18th PM Forecast: EARLY THIS EVENING Clear Lo 55 MONDAY Partly Cloudy Hi 41,42.1967,-83.6251,Sun Mar 18 21:04:50 +0000 2018,975478156932022300
Monroe MI Sun Mar 18th PM Forecast: EARLY THIS EVENING Clear Lo 55 MONDAY Partly Cloudy Hi 40,41.9088,-83.4727,Sun Mar 18 21:04:40 +0000 2018,975478115135782900
rudyfive Thanks,41.94047769,-87.69806159,Sun Mar 18 21:06:34 +0000 2018,975478591185150000
"I'm at Seafoam Palace in Chicago, IL https://t.co/TeUr1qcxLE",41.91122888,-87.68276762,Sun Mar 18 21:05:56 +0000 2018,975478432057450500
Mark Matras is on the decks  Twisted Cantina https://t.co/SWPSN8MXH2,41.85873,-87.66079,Sun Mar 18 21:06:40 +0000 2018,975478617240166400
"Arriving.  Chicago, Illinois https://t.co/xylIfbEzvW",41.8369,-87.6844,Sun Mar 18 21:04:39 +0000 2018,975478109876248600
We are looking for a buyer on 2167 BARRINGTON Drive Aurora IL  realestate https://t.co/ur1KAcGN2J https://t.co/B0GMEmHen5,41.713925,-88.2627336,Sun Mar 18 21:04:54 +0000 2018,975478173868572700
Midland MI Sun Mar 18th PM Forecast: EARLY THIS EVENING Clear Lo 55 MONDAY Clearing Hi 35,43.5802,-84.3509,Sun Mar 18 21:04:39 +0000 2018,975478110345887700
"Where is everybody?  chicago sundayfunday sunday  Chicago, Illinois https://t.co/dsUn33kU6R",41.8369,-87.6844,Sun Mar 18 21:08:26 +0000 2018,975479061253447700
Becky Johnson would love to show you the listing at 46420 MORNINGTON Road Canton MI  ... https://t.co/Pc7oplSgqW https://t.co/GUqvcJqyhr,42.306687,-83.498185,Sun Mar 18 21:08:30 +0000 2018,975479080542879700
"Crap. A birthday party. (Wrinkle in Time) ( Classic Cinemas Charlestowne_18 in Saint Charles, IL) https://t.co/zgRfkC2Arg",41.92367194,-88.27021268,Sun Mar 18 21:09:47 +0000 2018,975479402132799500
5641 West Higgins Road https://t.co/DSeAf7Erty,41.97044,-87.76903,Sun Mar 18 21:10:07 +0000 2018,975479486610399200
